manifold,word,length,phi_deg,phi_used,folding,target,target_val,abs_err,rel_err_pct,type,ratio_val
m003,BBBB/ABBB,4,,,ratio,mb_mc,3.2913,0.0003,0.01,ratio,3.291
m006,AABBB/AAAB,5,,,ratio,MZ_MW,1.1345,0.001,0.09,ratio,1.1355
m006,B,1,89.156,90.844,180-phi,7xtheta12_CKM,91.28,0.436,0.48,angle,
m006,AAbbb,5,67.654,67.654,direct,delta_CKM,68.0,0.346,0.51,angle,
m006,ABBab,5,146.38,33.62,180-phi,theta12_NU,33.41,0.21,0.63,angle,
m003,AAAB,4,90.75,90.75,direct,90deg,90.0,0.75,0.83,angle,
m003,AABB,4,131.919,48.081,180-phi,theta23_NU,49.1,1.019,2.08,angle,
m003,AAB,3,167.362,12.638,180-phi,theta12_CKM,13.04,0.402,3.08,angle,
m006,AAABB,5,2.132,2.132,direct,theta23_CKM,2.38,0.248,10.42,angle,
m003,AA,2,168.556,11.444,180-phi,theta13_NU,8.54,2.904,34.0,angle,
m006,ABBaB,5,1.687,1.687,direct,theta13_CKM,0.201,1.486,739.3,angle,
